  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  48.500     0.000    0.000     4.040   4.257   0.000  8.6538074497e-04
  48.500     0.000    0.000     4.080   4.299   0.000  8.3441480223e-04
  48.500     0.000    0.000     4.121   4.342   0.000  8.0365747196e-04
  48.500     0.000    0.000     4.161   4.385   0.000  7.7317493521e-04
  48.500     0.000    0.000     4.201   4.427   0.000  7.4302536268e-04
  48.500     0.000    0.000     4.242   4.470   0.000  7.1326602593e-04
  48.500     0.000    0.000     4.282   4.512   0.000  6.8394670285e-04
  48.500     0.000    0.000     4.323   4.555   0.000  6.5511452613e-04
  48.500     0.000    0.000     4.363   4.597   0.000  6.2681399938e-04
  48.500     0.000    0.000     4.403   4.640   0.000  5.9908394071e-04
  48.500     0.000    0.000     4.444   4.683   0.000  5.7195797022e-04
  48.500     0.000    0.000     4.484   4.725   0.000  5.4546745013e-04
  48.500     0.000    0.000     4.525   4.768   0.000  5.1964095620e-04
  48.500     0.000    0.000     4.565   4.810   0.000  4.9450130990e-04
  48.500     0.000    0.000     4.605   4.853   0.000  4.7007000633e-04
  48.500     0.000    0.000     4.646   4.895   0.000  4.4636321897e-04
  48.500     0.000    0.000     4.686   4.938   0.000  4.2339491362e-04
  48.500     0.000    0.000     4.727   4.981   0.000  4.1005456213e-04
  48.500     0.000    0.000     4.767   5.023   0.000  4.0056138605e-04
  48.500     0.000    0.000     4.807   5.066   0.000  3.9117793581e-04
  48.500     0.000    0.000     4.848   5.108   0.000  3.8191067223e-04
  48.500     0.000    0.000     4.888   5.151   0.000  3.7276540125e-04
  48.500     0.000    0.000     4.928   5.193   0.000  3.6374657762e-04
  48.500     0.000    0.000     4.969   5.236   0.000  3.5486068411e-04
  48.500     0.000    0.000     5.009   5.279   0.000  3.4611038827e-04
  48.500     0.000    0.000     5.050   5.321   0.000  3.3750026735e-04
  48.500     0.000    0.000     5.090   5.364   0.000  3.2903315798e-04
  48.500     0.000    0.000     5.130   5.406   0.000  3.2071255724e-04
  48.500     0.000    0.000     5.171   5.449   0.000  3.1254187863e-04
  48.500     0.000    0.000     5.211   5.491   0.000  3.0452128002e-04
  48.500     0.000    0.000     5.252   5.534   0.000  2.9665462408e-04
  48.500     0.000    0.000     5.292   5.577   0.000  2.8894202166e-04
  48.500     0.000    0.000     5.332   5.619   0.000  2.8138541296e-04
  48.500     0.000    0.000     5.373   5.662   0.000  2.7398574667e-04
  48.500     0.000    0.000     5.413   5.704   0.000  2.6674358814e-04
  48.500     0.000    0.000     5.454   5.747   0.000  2.5965867276e-04
  48.500     0.000    0.000     5.494   5.789   0.000  2.5273178225e-04
  48.500     0.000    0.000     5.534   5.832   0.000  2.4596285298e-04
  48.500     0.000    0.000     5.575   5.875   0.000  2.3935150746e-04
  48.500     0.000    0.000     5.615   5.917   0.000  2.3289671916e-04
  48.500     0.000    0.000     5.656   5.960   0.000  2.2659835617e-04
